Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,MPAA Rating,Running Time min,Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
Enemy of the State,111549836.0,250649836.0,,85000000.0,Nov 20 1998,R,127.0,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,Tony Scott,70.0,7.2,66700.0
Entrapment,87707396.0,211700000.0,,66000000.0,Apr 30 1999,PG-13,112.0,20th Century Fox,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Jon Amiel,38.0,6.1,40764.0
Enough,39177215.0,39177215.0,,38000000.0,May 24 2002,PG-13,115.0,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Michael Apted,21.0,6.5,92.0
Envy,13548322.0,14566246.0,,20000000.0,Apr 30 2004,PG-13,,Dreamworks SKG,Original Screenplay,Comedy,Contemporary Fiction,Barry Levinson,7.0,4.6,15655.0
Epic Movie,39739367.0,86858578.0,16839362.0,20000000.0,Jan 26 2007,PG-13,86.0,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,Jason Friedberg,2.0,2.2,48975.0
Eragon,75030163.0,249488115.0,87700229.0,100000000.0,Dec 15 2006,PG,102.0,20th Century Fox,Based on Book/Short Story,Adventure,Fantasy,,16.0,5.0,43555.0
Erin Brockovich,125548685.0,258400000.0,,50000000.0,Mar 17 2000,R,133.0,Universal,Based on Real Life Events,Drama,Dramatization,Steven Soderbergh,83.0,7.2,54977.0
Elizabethtown,26850426.0,50719373.0,15854391.0,54000000.0,Oct 14 2005,PG-13,133.0,Paramount Pictures,Original Screenplay,Drama,Contemporary Fiction,Cameron Crowe,28.0,6.4,31775.0
Eat Pray Love,78146373.0,81846373.0,,60000000.0,Aug 13 2010,R,143.0,Sony Pictures,Based on Magazine Article,Drama,Contemporary Fiction,,37.0,4.7,3019.0
Eternal Sunshine of the Spotless Mind,34366518.0,47066518.0,,20000000.0,Mar 19 2004,R,108.0,Focus Features,Based on Book/Short Story,Comedy,Fantasy,Michel Gondry,93.0,8.5,219986.0
Eulogy,70527.0,70527.0,,10000000.0,Oct 15 2004,R,,Artisan,Original Screenplay,Comedy,,,32.0,6.6,5205.0
Eureka,49388.0,76654.0,,2000000.0,May 04 2001,Not Rated,,,,Drama,,,,7.9,1391.0
Eurotrip,17718223.0,20718223.0,,25000000.0,Feb 20 2004,R,,Dreamworks SKG,Original Screenplay,Comedy,Contemporary Fiction,,46.0,6.5,52548.0
Eve's Bayou,14843425.0,14843425.0,,5000000.0,Nov 07 1997,R,109.0,Trimark,Original Screenplay,Drama,Historical Fiction,Kasi Lemmons,80.0,7.0,4509.0
Event Horizon,26673242.0,26673242.0,,60000000.0,Aug 15 1997,R,95.0,Paramount Pictures,Original Screenplay,Horror,Science Fiction,Paul Anderson,21.0,6.3,44671.0
Ever After: A Cinderella Story,65705772.0,65705772.0,,26000000.0,Jul 31 1998,PG,122.0,20th Century Fox,Traditional/Legend/Fairytale,Drama,Historical Fiction,Andy Tennant,,,
Evita,50047179.0,151947179.0,,55000000.0,Dec 25 1996,PG,134.0,Walt Disney Pictures,Based on Musical/Opera,Musical,Dramatization,Alan Parker,61.0,6.1,16769.0
Evolution,38311134.0,98341932.0,,80000000.0,Jun 08 2001,PG-13,102.0,Dreamworks SKG,Original Screenplay,Comedy,Contemporary Fiction,Ivan Reitman,42.0,5.9,39590.0
An Everlasting Piece,75078.0,75078.0,,4000000.0,Dec 25 2000,R,,Dreamworks SKG,,,,Barry Levinson,49.0,6.0,1097.0
Fong juk,51957.0,51957.0,,4500000.0,Aug 31 2007,Not Rated,100.0,Magnolia Pictures,Original Screenplay,Action,Historical Fiction,,,7.3,3699.0
Exit Wounds,51758599.0,79958599.0,,33000000.0,Mar 16 2001,R,100.0,Warner Bros.,Based on Book/Short Story,Action,Contemporary Fiction,Andrzej Bartkowiak,33.0,5.2,14528.0
The Exorcism of Emily Rose,75072454.0,144216468.0,,18000000.0,Sep 09 2005,PG-13,114.0,Sony/Screen Gems,Based on Real Life Events,Thriller/Suspense,Dramatization,Scott Derrickson,45.0,6.8,32425.0
Exorcist: The Beginning,41814863.0,43957541.0,,78000000.0,Aug 20 2004,R,114.0,Warner Bros.,Based on Book/Short Story,Horror,Historical Fiction,Renny Harlin,,5.0,15901.0
The Express,9793406.0,9808102.0,6580715.0,37500000.0,Oct 04 2008,PG,129.0,Universal,Based on Book/Short Story,Drama,Dramatization,,61.0,7.1,4749.0
eXistenZ,2840417.0,2840417.0,,20700000.0,Apr 23 1999,R,,Miramax,Original Screenplay,Thriller/Suspense,Science Fiction,David Cronenberg,71.0,6.8,35788.0
Extract,10823158.0,10849158.0,,7500000.0,Sep 04 2009,R,,Miramax,Original Screenplay,Comedy,Contemporary Fiction,Mike Judge,62.0,6.4,12371.0
Extreme Ops,4835968.0,12624471.0,,40000000.0,Nov 27 2002,PG-13,,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,Christian Duguay,6.0,4.1,3195.0
Eyes Wide Shut,55691208.0,86257553.0,,65000000.0,Jul 16 1999,R,159.0,Warner Bros.,Based on Book/Short Story,Drama,Contemporary Fiction,Stanley Kubrick,78.0,7.2,93880.0
The Faculty,40283321.0,40283321.0,,15000000.0,Dec 25 1998,R,102.0,Miramax,Original Screenplay,Horror,Contemporary Fiction,Robert Rodriguez,51.0,6.3,36139.0
Failure to Launch,88715192.0,128402901.0,41348843.0,50000000.0,Mar 10 2006,PG-13,,Paramount Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Tom Dey,25.0,5.6,20324.0
Keeping the Faith,37036404.0,45336404.0,,29000000.0,Apr 14 2000,PG-13,129.0,Walt Disney Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,,68.0,6.5,25485.0
Fame,22455510.0,77956957.0,4950732.0,18000000.0,Sep 25 2009,PG,,MGM,Remake,Musical,Contemporary Fiction,,25.0,4.5,4973.0
The Family Stone,60062868.0,91762868.0,23961409.0,18000000.0,Dec 16 2005,PG-13,103.0,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,,52.0,6.3,24434.0
Lisa Picard is Famous,113433.0,113433.0,,1000000.0,Aug 22 2001,PG-13,,,,Comedy,,Griffin Dunne,,,
Fantasia 2000 (Theatrical Release),9103630.0,9103630.0,,80000000.0,Jun 16 2000,G,,Walt Disney Pictures,Compilation,Musical,Fantasy,,,,
Far From Heaven,15901849.0,29027914.0,,13500000.0,Nov 08 2002,PG-13,,Focus Features,Original Screenplay,Drama,Historical Fiction,Todd Haynes,89.0,7.5,20239.0
Fascination,16670.0,83356.0,,5000000.0,Jan 28 2005,R,,MGM,Original Screenplay,Thriller/Suspense,,,,2.5,1016.0
Father's Day,28681080.0,35681080.0,,85000000.0,May 09 1997,PG-13,98.0,Warner Bros.,Remake,Comedy,Contemporary Fiction,Ivan Reitman,,4.8,6654.0
Facing the Giants,10178331.0,10178331.0,20091582.0,100000.0,Sep 29 2006,PG,,IDP/Goldwyn/Roadside,Original Screenplay,Drama,Contemporary Fiction,Alex Kendrick,9.0,6.0,4901.0
Face/Off,112276146.0,241200000.0,,80000000.0,Jun 27 1997,R,138.0,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,John Woo,93.0,7.3,102001.0
Final Destination 2,46896664.0,89626226.0,,26000000.0,Jan 31 2003,R,90.0,New Line,Original Screenplay,Horror,Fantasy,David R. Ellis,47.0,6.4,35737.0
Final Destination 3,54098051.0,112798051.0,18646884.0,25000000.0,Feb 10 2006,R,,New Line,Original Screenplay,Horror,Fantasy,James Wong,45.0,5.9,32263.0
The Final Destination,66477700.0,185777700.0,10148305.0,40000000.0,Aug 28 2009,R,,Warner Bros.,Original Screenplay,Horror,Fantasy,David R. Ellis,27.0,4.9,20319.0
FearDotCom,13208023.0,13208023.0,,40000000.0,Aug 30 2002,R,,Warner Bros.,Original Screenplay,Horror,Contemporary Fiction,William Malone,,3.1,11438.0
Fear and Loathing in Las Vegas,10680275.0,13711903.0,,18500000.0,May 22 1998,R,,Universal,Based on Book/Short Story,Comedy,Dramatization,Terry Gilliam,47.0,7.6,81560.0
Feast,56131.0,341808.0,3570398.0,3200000.0,Sep 22 2006,R,,Weinstein/Dimension,Original Screenplay,Horror,Fantasy,,55.0,6.4,12023.0
The Fifth Element,63570862.0,263900000.0,,95000000.0,May 09 1997,PG-13,105.0,Sony Pictures,Original Screenplay,Action,Science Fiction,Luc Besson,72.0,7.4,131252.0
Femme Fatale,6592103.0,6592103.0,,35000000.0,Nov 06 2002,R,,Warner Bros.,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Brian De Palma,48.0,6.3,16693.0
Bring it On,68353550.0,90453550.0,,10000000.0,Aug 25 2000,PG-13,99.0,Universal,Original Screenplay,Comedy,Contemporary Fiction,Peyton Reed,63.0,5.9,30309.0
Fantastic Four,154696080.0,330579719.0,4702358.0,87500000.0,Jul 08 2005,PG-13,123.0,20th Century Fox,Based on Comic/Graphic Novel,Action,Super Hero,Tim Story,27.0,5.7,71675.0
54,16757163.0,16757163.0,,13000000.0,Aug 28 1998,R,92.0,Miramax,Original Screenplay,Drama,Dramatization,,13.0,5.6,15023.0
2 Fast 2 Furious,127120058.0,236220058.0,,76000000.0,Jun 06 2003,PG-13,107.0,Universal,Based on Magazine Article,Action,Contemporary Fiction,John Singleton,36.0,5.1,44151.0
The Fast and the Furious,144512310.0,206512310.0,,38000000.0,Jun 22 2001,PG-13,107.0,Universal,Based on Magazine Article,Action,Contemporary Fiction,Rob Cohen,53.0,6.0,67939.0
Fool's Gold,70231041.0,109362966.0,20620930.0,72500000.0,Feb 08 2008,PG-13,,Warner Bros.,Original Screenplay,Adventure,Contemporary Fiction,Andy Tennant,,7.6,93.0
Fahrenheit 9/11,119114517.0,222414517.0,,6000000.0,Jun 23 2004,R,122.0,Lionsgate,Based on Real Life Events,Documentary,Factual,Michael Moore,83.0,7.6,74424.0
Capitalism: A Love Story,14363397.0,14678228.0,2987505.0,20000000.0,Sep 23 2009,R,,Overture Films,Based on Real Life Events,Documentary,Factual,Michael Moore,75.0,7.3,11829.0
From Hell,31598308.0,31598308.0,,35000000.0,Oct 19 2001,R,123.0,20th Century Fox,Based on Comic/Graphic Novel,Thriller/Suspense,Historical Fiction,Albert Hughes,57.0,6.8,53477.0
Fido,298110.0,419801.0,,8000000.0,Jun 15 2007,R,93.0,Lionsgate,Original Screenplay,Horror,Fantasy,,,6.9,11683.0
Fight Club,37030102.0,100853753.0,,65000000.0,Oct 15 1999,R,139.0,20th Century Fox,Based on Book/Short Story,Drama,Contemporary Fiction,David Fincher,81.0,8.8,382470.0
Final Fantasy: The Spirits Within,32131830.0,85131830.0,,137000000.0,Jul 11 2001,PG-13,120.0,Sony Pictures,Based on Game,Adventure,Science Fiction,,,6.4,36227.0
Finding Forrester,51768623.0,80013623.0,,43000000.0,Dec 19 2000,PG-13,137.0,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,Gus Van Sant,74.0,7.2,35966.0
Freddy Got Fingered,14249005.0,14249005.0,,15000000.0,Apr 20 2001,R,,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,,11.0,4.0,25033.0
Firestorm,8123860.0,8123860.0,,19000000.0,Jan 09 1998,R,,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,,,4.4,2118.0
Fish Tank,374675.0,374675.0,,3000000.0,Jan 15 2010,,,,,,,,,7.5,5940.0
Felicia's Journey,824295.0,1970268.0,,15000000.0,Nov 12 1999,PG-13,,Artisan,Based on Book/Short Story,Drama,Contemporary Fiction,Atom Egoyan,88.0,6.9,4790.0
From Justin to Kelly,4922166.0,4922166.0,,12000000.0,Jun 20 2003,PG,,20th Century Fox,Based on TV,Musical,Contemporary Fiction,,8.0,1.6,17596.0
Final Destination,53302314.0,112802314.0,,23000000.0,Mar 17 2000,R,98.0,New Line,Original Screenplay,Horror,Fantasy,James Wong,31.0,6.8,52618.0
Flags of Our Fathers,33602376.0,61902376.0,45105366.0,53000000.0,Oct 20 2006,R,,Paramount Pictures,Based on Book/Short Story,Drama,Historical Fiction,Clint Eastwood,73.0,7.2,42788.0
Flawless,4485485.0,4485485.0,,27000000.0,Nov 24 1999,R,,MGM,Original Screenplay,Drama,Contemporary Fiction,Joel Schumacher,43.0,6.7,8125.0
Flammen og Citronen,148089.0,1635241.0,,9000000.0,Jul 31 2009,,132.0,IFC Films,,Thriller/Suspense,Historical Fiction,,,7.2,4182.0
Flicka,21000147.0,21893591.0,49974754.0,15000000.0,Oct 20 2006,PG,94.0,20th Century Fox,Based on Book/Short Story,Drama,Contemporary Fiction,,54.0,5.7,2832.0
Flight of the Phoenix,21009180.0,34009180.0,,75000000.0,Dec 17 2004,PG-13,,20th Century Fox,Remake,Adventure,Historical Fiction,,30.0,6.0,18568.0
United 93,31567134.0,76366864.0,17832230.0,18000000.0,Apr 28 2006,R,,Universal,Based on Real Life Events,Drama,Dramatization,Paul Greengrass,91.0,7.8,46691.0
Flubber,92993801.0,177993801.0,,80000000.0,Nov 26 1997,PG,93.0,Walt Disney Pictures,Remake,Comedy,Kids Fiction,Les Mayfield,17.0,4.6,18890.0
Flushed Away,64665672.0,177665672.0,71025931.0,149000000.0,Nov 03 2006,PG,85.0,Paramount Pictures,Original Screenplay,Comedy,Kids Fiction,Sam Fell,72.0,7.0,21334.0
Flyboys,13090630.0,14816379.0,23631077.0,60000000.0,Sep 22 2006,PG-13,139.0,MGM,Based on Real Life Events,Drama,Dramatization,Tony Bill,33.0,6.5,13934.0
Fly Me To the Moon,14543943.0,40098231.0,,25000000.0,Aug 15 2008,G,89.0,Summit Entertainment,Original Screenplay,Adventure,Kids Fiction,,17.0,4.7,1653.0
Find Me Guilty,1173673.0,1788077.0,,13000000.0,Mar 17 2006,R,,Freestyle Releasing,Based on Real Life Events,Drama,Dramatization,Sidney Lumet,60.0,7.1,12800.0
The Family Man,75764085.0,124715863.0,,60000000.0,Dec 22 2000,PG-13,126.0,Universal,Original Screenplay,Comedy,Contemporary Fiction,Brett Ratner,52.0,6.6,34090.0
Friends with Money,13368437.0,15328368.0,7822762.0,6500000.0,Apr 07 2006,R,,Sony Pictures Classics,Original Screenplay,Comedy,Contemporary Fiction,,71.0,6.1,11087.0
Finding Nemo,339714978.0,867894287.0,,94000000.0,May 30 2003,G,100.0,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,Andrew Stanton,98.0,8.2,165006.0
Finishing the Game,52850.0,52850.0,,500000.0,Oct 05 2007,Not Rated,,IFC First Take,Original Screenplay,Comedy,Contemporary Fiction,Justin Lin,35.0,,
Foodfight!,0.0,0.0,,65000000.0,Dec 31 2009,PG,,Lionsgate,Original Screenplay,Comedy,Kids Fiction,,,,
Formula 51,5204007.0,5204007.0,,27000000.0,Oct 18 2002,R,,Screen Media Films,Original Screenplay,Action,Contemporary Fiction,,,,
The Fountain,10144010.0,15461638.0,8752844.0,35000000.0,Nov 22 2006,PG-13,96.0,Warner Bros.,Original Screenplay,Drama,Science Fiction,Darren Aronofsky,51.0,7.4,72562.0
Fantastic Four: Rise of the Silver Surfer,131921738.0,288215319.0,62277740.0,120000000.0,Jun 15 2007,PG,92.0,20th Century Fox,Based on Comic/Graphic Novel,Action,Super Hero,Tim Story,36.0,,
Farce of the Penguins,0.0,0.0,1619183.0,5000000.0,Jan 30 2007,R,,ThinkFilm,Original Screenplay,Comedy,Contemporary Fiction,,,4.1,3186.0
Flightplan,89706988.0,225706988.0,,55000000.0,Sep 23 2005,PG-13,93.0,Walt Disney Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,38.0,6.2,45305.0
Frailty,13110448.0,17423030.0,,11000000.0,Apr 12 2002,R,,Lionsgate,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,74.0,7.3,27629.0
The Forbidden Kingdom,52075270.0,129075270.0,23318686.0,55000000.0,Apr 18 2008,PG-13,105.0,Lionsgate,Based on Book/Short Story,Action,Fantasy,Rob Minkoff,64.0,6.7,36548.0
Freedom Writers,36605602.0,43090741.0,20532539.0,21000000.0,Jan 05 2007,PG-13,122.0,Paramount Pictures,Based on Book/Short Story,Drama,Dramatization,Richard LaGravenese,69.0,7.5,18065.0
Next Friday,57176582.0,59675307.0,,9500000.0,Jan 12 2000,R,98.0,New Line,Original Screenplay,Comedy,Contemporary Fiction,Steve Carr,21.0,5.3,10176.0
Freaky Friday,110222438.0,160822438.0,,26000000.0,Aug 06 2003,PG,97.0,Walt Disney Pictures,Remake,Comedy,Contemporary Fiction,Mark Waters,88.0,6.5,29137.0
Frequency,44983704.0,68079671.0,,31000000.0,Apr 28 2000,PG-13,118.0,New Line,Original Screenplay,Drama,Science Fiction,,69.0,7.3,35968.0
Serenity,25514517.0,38514517.0,,39000000.0,Sep 30 2005,PG-13,119.0,Universal,Based on TV,Action,Science Fiction,Joss Whedon,81.0,8.0,106648.0
The Forgotton,66711892.0,111311892.0,,50000000.0,Sep 24 2004,PG-13,91.0,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Joseph Ruben,,4.9,1169.0
Jason X,13121555.0,16951798.0,,14000000.0,Apr 26 2002,R,,New Line,,Horror,Contemporary Fiction,,21.0,4.4,17964.0
Friday the 13th,65002019.0,91700771.0,9566980.0,17000000.0,Feb 13 2009,R,,Warner Bros.,,Horror,Fantasy,,26.0,5.6,26798.0
Friday After Next,33253609.0,33526835.0,,10000000.0,Nov 22 2002,R,85.0,New Line,Original Screenplay,Comedy,Contemporary Fiction,,25.0,5.3,6742.0
Frida,25885000.0,56298474.0,,12000000.0,Oct 25 2002,R,123.0,Miramax,Based on Real Life Events,Drama,Dramatization,,76.0,7.3,26243.0
Friday Night Lights,61255921.0,61950770.0,,30000000.0,Oct 08 2004,PG-13,117.0,Universal,Based on Book/Short Story,Drama,Contemporary Fiction,Peter Berg,81.0,7.2,20868.0
Frozen River,2503902.0,5281776.0,,1000000.0,Aug 01 2008,R,,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,,87.0,7.2,10447.0
The Princess and the Frog,104374107.0,263467382.0,68101150.0,105000000.0,Nov 25 2009,G,,Walt Disney Pictures,Based on Book/Short Story,Adventure,Kids Fiction,John Musker,84.0,7.4,16232.0
Full Frontal,2512846.0,3438804.0,,2000000.0,Aug 02 2002,R,,Miramax,Original Screenplay,Comedy,Contemporary Fiction,Steven Soderbergh,37.0,4.8,6660.0
Fireproof,33451479.0,33451479.0,31898934.0,500000.0,Sep 26 2008,PG,122.0,Samuel Goldwyn Films,Original Screenplay,Drama,Contemporary Fiction,Alex Kendrick,40.0,5.6,5498.0
The Forsaken,6755271.0,6755271.0,,5000000.0,Apr 27 2001,R,,Sony Pictures,Original Screenplay,Horror,Contemporary Fiction,,8.0,5.1,4679.0
Frost/Nixon,18622031.0,28144586.0,6677601.0,29000000.0,Dec 05 2008,R,122.0,Universal,Based on Play,Drama,Dramatization,Ron Howard,92.0,7.9,36366.0
Factory Girl,1661464.0,1661464.0,,7000000.0,Dec 29 2006,R,90.0,MGM,Based on Real Life Events,Drama,Dramatization,,19.0,6.1,8680.0
Fateless,196857.0,196857.0,,12000000.0,Jan 06 2006,R,,ThinkFilm,Based on Real Life Events,Drama,,,,6.0,462.0
The Full Monty,45950122.0,257938649.0,,3500000.0,Aug 13 1997,R,90.0,Fox Searchlight,Original Screenplay,Comedy,Contemporary Fiction,Peter Cattaneo,95.0,7.2,40877.0
Fun With Dick And Jane,110550000.0,202250000.0,29638269.0,140000000.0,Dec 21 2005,PG-13,90.0,Sony Pictures,Remake,Comedy,Contemporary Fiction,,29.0,6.3,1788.0
Funny People,51855045.0,71880305.0,13721109.0,70000000.0,Jul 31 2009,R,,Universal,Original Screenplay,Comedy,Contemporary Fiction,Judd Apatow,67.0,6.8,37791.0
Fur,223202.0,2281089.0,,16800000.0,Nov 10 2006,R,121.0,Picturehouse,Based on Book/Short Story,Drama,Dramatization,,,,
Furry Vengeance,17630465.0,21630465.0,4335991.0,35000000.0,Apr 30 2010,PG,,Summit Entertainment,Original Screenplay,Comedy,Kids Fiction,Roger Kumble,8.0,2.6,3458.0
Fever Pitch,42071069.0,50071069.0,,40000000.0,Apr 08 2005,PG-13,,20th Century Fox,Based on Book/Short Story,Comedy,Contemporary Fiction,Bobby Farrelly,,6.3,16736.0
For Your Consideration,5549923.0,5549923.0,,12000000.0,Nov 17 2006,PG-13,86.0,Warner Independent,Original Screenplay,Comedy,Contemporary Fiction,Christopher Guest,50.0,6.2,7780.0
The Game,48265581.0,48265581.0,,50000000.0,Sep 12 1997,R,128.0,Polygram,Original Screenplay,Thriller/Suspense,Contemporary Fiction,David Fincher,80.0,7.7,74136.0
Gangs of New York,77730500.0,190400000.0,,97000000.0,Dec 20 2002,R,168.0,Miramax,Original Screenplay,Drama,Historical Fiction,Martin Scorsese,75.0,7.4,113378.0
Garfield,75367693.0,200802638.0,,50000000.0,Jun 11 2004,PG,80.0,20th Century Fox,Based on Comic/Graphic Novel,Comedy,Contemporary Fiction,Peter Hewitt,,4.8,19870.0
Georgia Rule,18882880.0,20819601.0,19382312.0,20000000.0,May 11 2007,R,111.0,Universal,Original Screenplay,Drama,Contemporary Fiction,Garry Marshall,17.0,5.8,10902.0
Gattaca,12532777.0,12532777.0,,36000000.0,Oct 24 1997,PG-13,,Sony Pictures,Original Screenplay,Drama,Science Fiction,Andrew Niccol,82.0,7.8,70906.0
"Gone, Baby, Gone",20300218.0,34619699.0,11406490.0,19000000.0,Oct 19 2007,R,114.0,Miramax,Based on Book/Short Story,Drama,Contemporary Fiction,Ben Affleck,,,
"Goodbye, Lenin!",4063859.0,79316616.0,,6400000.0,Feb 27 2004,R,,Sony Pictures Classics,Original Screenplay,Comedy,Contemporary Fiction,,,3.3,198.0
Good Boy!,37667746.0,45312217.0,,17000000.0,Oct 10 2003,PG,87.0,MGM,Based on Book/Short Story,Comedy,Kids Fiction,,45.0,5.0,1961.0
Gods and Generals,12882934.0,12923936.0,,55000000.0,Feb 21 2003,PG-13,,Warner Bros.,,Drama,Historical Fiction,,8.0,6.0,7437.0
The Good German,1308696.0,1308696.0,,32000000.0,Dec 15 2006,R,104.0,Warner Bros.,Based on Book/Short Story,Drama,Historical Fiction,Steven Soderbergh,32.0,6.1,13007.0
Gods and Monsters,6451628.0,6451628.0,,3500000.0,Nov 06 1998,R,,Lionsgate,Based on Book/Short Story,Drama,Historical Fiction,Bill Condon,96.0,7.5,15946.0
The Good Night,22441.0,22441.0,,15000000.0,Oct 05 2007,R,93.0,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,,29.0,6.0,4332.0
The Good Thief,3517797.0,3517797.0,,30000000.0,Apr 02 2003,R,,Fox Searchlight,Remake,Drama,Contemporary Fiction,Neil Jordan,78.0,,
George and the Dragon,0.0,0.0,,32000000.0,Dec 31 2004,PG,,,Original Screenplay,,,,,5.7,1762.0
Gerry,254683.0,254683.0,,7000000.0,Feb 14 2003,R,,ThinkFilm,,Drama,,Gus Van Sant,,6.2,8583.0
G-Force,119436770.0,287389685.0,44145849.0,82500000.0,Jul 24 2009,PG,,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,,22.0,5.0,9633.0
Gridiron Gang,38432823.0,41480851.0,34066576.0,30000000.0,Sep 15 2006,PG-13,126.0,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Phil Joanou,41.0,6.8,12400.0
The Good Girl,14018296.0,15976468.0,,8000000.0,Aug 07 2002,R,,Fox Searchlight,Original Screenplay,Comedy,Contemporary Fiction,,81.0,6.6,21460.0
Ghost Ship,30113491.0,68349884.0,,20000000.0,Oct 25 2002,R,91.0,Warner Bros.,Original Screenplay,Horror,Contemporary Fiction,,13.0,5.3,25891.0
Ghosts of Mississippi,13052741.0,13052741.0,,36000000.0,Dec 20 1996,PG-13,,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Rob Reiner,50.0,6.4,5276.0
The Glass House,17951431.0,22861785.0,,22000000.0,Sep 14 2001,PG-13,,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,21.0,5.6,10629.0
Ghost Rider,115802596.0,237702596.0,103730683.0,120000000.0,Feb 16 2007,PG-13,110.0,Sony Pictures,Based on Comic/Graphic Novel,Action,Super Hero,Mark Steven Johnson,26.0,5.2,63235.0
Ghost Town,13252641.0,26612350.0,7574314.0,20000000.0,Sep 19 2008,PG-13,102.0,Paramount Pictures,Original Screenplay,Romantic Comedy,Fantasy,David Koepp,85.0,4.7,310.0
The Gift,12008642.0,44567606.0,,10000000.0,Dec 19 2000,R,,Paramount Vantage,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Sam Raimi,56.0,6.7,28488.0
Gigli,6087542.0,7266209.0,,54000000.0,Aug 01 2003,R,,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Martin Brest,6.0,2.4,29031.0
G.I.Jane,48169156.0,48169156.0,,50000000.0,Aug 22 1997,R,124.0,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,Ridley Scott,,5.5,23807.0
G.I. Joe: The Rise of Cobra,150201498.0,302469019.0,69866155.0,175000000.0,Aug 07 2009,PG-13,118.0,Paramount Pictures,Based on Toy,Action,Contemporary Fiction,Stephen Sommers,,5.8,47052.0
"Girl, Interrupted",28871190.0,28871190.0,,24000000.0,Dec 21 1999,R,127.0,Sony Pictures,Based on Real Life Events,Drama,Dramatization,James Mangold,53.0,,
Gladiator,187683805.0,457683805.0,,103000000.0,May 05 2000,R,150.0,Sony Pictures,Original Screenplay,Action,Historical Fiction,Ridley Scott,77.0,8.3,279512.0
Glitter,4273372.0,4273372.0,,8500000.0,Sep 21 2001,PG-13,,20th Century Fox,Original Screenplay,Musical,Contemporary Fiction,Vondie Curtis-Hall,7.0,2.0,13778.0
Gloria,4167493.0,4967493.0,,30000000.0,Jan 22 1999,R,,Sony Pictures,Remake,Drama,Contemporary Fiction,Sidney Lumet,19.0,4.7,2726.0
Good Luck Chuck,35017297.0,59183821.0,26234476.0,25000000.0,Sep 21 2007,R,96.0,Lionsgate,Original Screenplay,Romantic Comedy,Contemporary Fiction,,5.0,5.6,29013.0
John Carpenter's Ghosts of Mars,8434601.0,8434601.0,,28000000.0,Aug 24 2001,R,,Screen Media Films,Original Screenplay,Action,Science Fiction,John Carpenter,,,
The Green Mile,136801374.0,286601374.0,,60000000.0,Dec 10 1999,R,187.0,Warner Bros.,Based on Book/Short Story,Drama,Fantasy,Frank Darabont,77.0,8.4,198916.0
The Game of Their Lives,375474.0,375474.0,,20000000.0,Apr 22 2005,PG,,IFC Films,Based on Book/Short Story,Drama,,,25.0,6.0,1443.0
"Gandhi, My Father",240425.0,1375194.0,,5000000.0,Aug 03 2007,Not Rated,,Eros Entertainment,Based on Book/Short Story,Drama,Dramatization,,40.0,8.1,50881.0
Good Night and Good Luck,31501218.0,54601218.0,20967273.0,7000000.0,Oct 07 2005,PG,,Warner Independent,Based on Real Life Events,Drama,Dramatization,George Clooney,,7.7,42797.0
The General's Daughter,102705852.0,149705852.0,,60000000.0,Jun 18 1999,R,116.0,Paramount Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Simon West,22.0,6.1,23570.0
Gun Shy,1638202.0,1638202.0,,10000000.0,Feb 04 2000,R,,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,,24.0,5.4,3607.0
Go!,16875273.0,28383441.0,,6500000.0,Apr 09 1999,R,103.0,Sony Pictures,Original Screenplay,Black Comedy,Contemporary Fiction,Doug Liman,92.0,,
Goal!,4283255.0,27610873.0,12616824.0,33000000.0,May 12 2006,PG,121.0,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,,,6.9,16809.0
